Sila;Przemieszczenie
64.27606;0.2045
64.32771;0.2045
64.16003;0.2045
64.22599;0.2045
64.29831;0.2045
63.99155;0.2045
64.30228;0.2045
64.07976;0.2045
64.044;0.2045
64.20294;0.2045
64.01936;0.2045
63.91843;0.2045
64.22361;0.2045
63.86598;0.2045
63.98678;0.2045
64.02334;0.2045
63.81591;0.2045
63.94545;0.2045
63.9375;0.2045
63.67207;0.2045
63.99632;0.2045
63.79843;0.2045
63.6522;0.2045
63.91764;0.2045
63.69909;0.204875
94.14991;0.2775
112.582;0.419625
121.1723;0.5725001
129.052;0.723375
136.7339;0.8735
144.2933;1.023625
151.4149;1.174625
158.155;1.324625
165.9656;1.473875
173.7301;1.623875
181.1751;1.774625
188.9285;1.924625
196.0619;2.07375
203.7851;2.223875
211.494;2.37475
217.9758;2.5245
226.1933;2.67375
233.1058;2.823875
240.3228;2.974625
248.1977;3.124625
256.9485;3.27375
264.3839;3.42375
272.0658;3.5745
278.6525;3.7245
285.8846;3.873875
293.8167;4.02375
300.7913;4.174625
307.7603;4.324375
315.4922;4.473875
316.8702;4.501125
317.7015;4.516
318.3174;4.531625
319.0096;4.54575
319.4308;4.56125
320.4966;4.5765
321.579;4.59075
322.1838;4.606625
322.9825;4.621125
323.5547;4.636
324.475;4.65175
325.683;4.66575
326.1352;4.68125
326.9871;4.6965
327.7175;4.71075
328.308;4.726625
329.3673;4.741125
329.9117;4.756125
330.6882;4.77175
331.7769;4.78575
331.9613;4.801375
332.8252;4.816625
333.7701;4.830875
334.4329;4.846625
335.4033;4.861
335.4843;4.875875
335.6973;4.891875
336.9864;4.905875
337.7151;4.921375
338.3795;4.9365
339.0042;4.950875
339.5645;4.96675
340.8599;4.981125
341.4806;4.996
330.375;5.082875
266.5575;5.001125
196.2781;4.858375
155.2256;4.705875
129.4025;4.554
110.2074;4.403125
94.03944;4.253375
80.42097;4.103375
68.91171;3.95275
58.98396;3.8025
49.40351;3.653
40.64322;3.50325
33.03289;3.352625
26.31585;3.202375
19.66476;3.053
13.42773;2.90325
9.365082;2.752625
5.25554;2.602375
1.657009;2.452875
-4.683336;2.30325
-9.742578;2.152625
-14.0365;2.002375
-18.46631;1.853
-23.13852;1.703375
-26.96753;1.552625
-30.63679;1.402375
-34.07319;1.253125
-38.06035;1.103375
-41.93306;0.952625
-45.37265;0.802375
-48.67315;0.652875
-52.78031;0.5033751
-56.19128;0.352625
-59.46954;0.202375
-62.79309;0.053
-66.57044;-0.09662501
-70.54408;-0.247375
-73.68008;-0.397625
-76.71436;-0.547125
-80.76826;-0.696875
-84.16732;-0.8475
-87.0196;-0.9976251
-90.30183;-1.147125
-93.96553;-1.296625
-97.57598;-1.447375
-101.0005;-1.59775
-103.8575;-1.746875
-107.8502;-1.896625
-111.8994;-2.047375
-115.2698;-2.197625
-118.7952;-2.347125
-122.6616;-2.49675
-126.3356;-2.647375
-130.1591;-2.79775
-133.6392;-2.947
-137.2568;-3.09675
-141.3822;-3.247375
-144.7074;-3.397625
-147.8752;-3.547
-152.0673;-3.696625
-155.7914;-3.847375
-159.3542;-3.997625
-162.9901;-4.147
-166.6816;-4.2965
-170.8794;-4.447375
-174.3746;-4.597625
-177.5392;-4.747
-181.551;-4.89675
-185.4515;-5.047375
-186.1803;-5.164125
-181.4715;-5.17375
-161.1582;-5.0675
-142.0522;-4.916375
-128.4718;-4.76525
-116.396;-4.613875
-105.8952;-4.462
-96.49039;-4.31075
-86.93377;-4.1595
-78.21481;-4.008125
-69.40047;-3.857
-61.25529;-3.7065
-53.63147;-3.55675
-45.80975;-3.407
-38.02776;-3.257
-30.71705;-3.106625
-23.39999;-2.956875
-16.63049;-2.80725
-9.504159;-2.657375
-3.620784;-2.52275
3.624757;-2.370875
10.01994;-2.219375
16.89434;-2.06825
22.87865;-1.91825
26.10683;-1.768875
30.09081;-1.6185
37.0876;-1.46775
43.72756;-1.318125
50.36592;-1.168875
56.72852;-1.0185
62.75018;-0.86775
68.63356;-0.718125
74.87297;-0.5685
81.21252;-0.418375
86.84079;-0.267625
93.2312;-0.118125
99.66771;0.031375
107.0166;0.181625
113.8926;0.33225
120.4491;0.481875
127.5508;0.63125
134.813;0.781625
140.783;0.9325001
147.7957;1.082
154.5231;1.231375
161.3847;1.381625
168.2576;1.53225
175.7964;1.682
183.1627;1.831375
190.5998;1.981625
197.7404;2.132375
205.5462;2.282
213.1009;2.43125
219.9801;2.581625
226.9888;2.732375
234.6245;2.882
242.5869;3.03125
249.9318;3.181625
257.5493;3.33225
264.8544;3.482
273.2786;3.63125
281.3506;3.781375
289.309;3.93225
296.6738;4.081875
304.8674;4.231375
313.4879;4.381625
319.5008;4.501625
320.4989;4.5165
321.0457;4.53225
321.7506;4.54625
322.1933;4.561875
323.387;4.577125
324.254;4.59125
324.6498;4.607125
325.5208;4.6215
326.3815;4.636625
327.2756;4.652375
328.2809;4.66625
328.7776;4.681875
329.779;4.697125
330.7184;4.711375
331.1849;4.72725
332.1481;4.741625
332.7147;4.756625
333.5182;4.772375
334.4305;4.786375
334.6109;4.802
335.5829;4.817
336.5183;4.83125
337.2161;4.84725
338.2444;4.861625
338.424;4.8765
339.1592;4.89225
340.4514;4.90625
340.968;4.921875
341.8271;4.937125
342.629;4.9515
343.0939;4.967375
344.2367;4.981625
344.8216;4.99675
349.7887;5.1365
332.7171;5.17175
278.6009;5.104
205.3865;4.961125
161.5373;4.808625
133.9563;4.657625
113.5945;4.506875
97.40194;4.355875
83.5228;4.205625
71.30544;4.05625
60.37712;3.906125
51.14317;3.7555
42.92727;3.6055
35.14846;3.456125
27.47456;3.306125
21.12627;3.155375
15.08474;3.0055
11.23508;2.856125
6.082853;2.706125
2.410412;2.555375
-3.0454;2.405375
-7.798672;2.256125
